cve,succeed,false_positive,false_negative,failed_versions,targets
CVE-2012-5134,0,,,2.9.0;2.8.0;2.8.0-rc2;2.9.1;2.9.2-rc1;2.9.2-rc2,6
CVE-2013-0338,6,,,,6
CVE-2015-7497,6,,,,6
CVE-2015-7941,1,,2.9.3;2.9.4-rc1;2.9.4-rc2,,4
CVE-2015-8710,3,2.9.2;2.9.2-rc2;2.9.2-rc1,,,6
CVE-2016-1762,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4-rc1;2.9.4-rc2;2.9.4,6
CVE-2016-1836,6,,,,6
CVE-2016-1838,3,2.9.4,,2.9.3;2.9.2,6
CVE-2016-1840,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2016-4483,0,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2017-16931,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,6
CVE-2018-14404,3,,2.9.9-rc1;2.9.9-rc2;2.9.9,,6
CVE-2022-29824,3,,2.10.0;2.10.1;2.10.2,,6
CVE-2022-40303,3,,2.10.4;2.11.0;2.11.1,,6
CVE-2022-40304,3,,2.10.4;2.11.0;2.11.1,,6
CVE-2023-28484,3,2.10.3;2.10.2;2.10.1,,,6
