cve,succeed,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2016-0705,3,,OpenSSL_1_1_0-pre3;OpenSSL-fips-2_0_10;OpenSSL-fips-2_0_12,,6,
CVE-2016-0798,5,,OpenSSL_1_1_0-pre3,,6,
CVE-2016-0799,5,,OpenSSL_1_1_0-pre3,,6,
CVE-2016-2842,5,,OpenSSL_1_1_0-pre3,,6,
CVE-2016-0797,0,,,OpenSSL_1_0_1r;OpenSSL_1_0_2f;OpenSSL_1_0_1q;OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_1_0-pre3,6,
CVE-2016-2109,0,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_1r;OpenSSL_1_0_2h;OpenSSL_1_0_1t,5,
CVE-2016-2105,5,,,,5,
CVE-2016-2106,0,,,,5,true
CVE-2016-2107,5,,,,5,
CVE-2016-2108,0,,,,3,true
CVE-2016-2176,0,,,,5,true
CVE-2016-2177,4,,,,4,
CVE-2016-6304,3,,OpenSSL_1_0_2i,,4,
CVE-2016-6306,4,,OpenSSL_1_0_2i,,5,
CVE-2016-7052,2,,,,2,
CVE-2018-0737,3,,OpenSSL_1_1_1-pre5;OpenSSL_1_1_1-pre4;OpenSSL_1_1_1-pre6,,6,
CVE-2018-0732,4,,OpenSSL_1_1_1-pre7;OpenSSL_1_1_1-pre6,,6,
CVE-2019-1559,3,OpenSSL_1_0_2q;OpenSSL_1_0_2p;OpenSSL_1_0_2o,,,6,
CVE-2019-1543,3,,,OpenSSL_1_1_1c;OpenSSL_1_1_0k;OpenSSL_1_0_2s,6,
CVE-2019-1563,6,,,,6,
CVE-2020-1967,4,,openssl-3.0.0-alpha2,,5,
CVE-2021-23840,5,,openssl-3.0.0-alpha11,,6,
CVE-2021-4044,4,,OpenSSL_1_1_1m,,5,
CVE-2022-1473,2,,,openssl-3.0.2;openssl-3.0.1;openssl-3.0.0;OpenSSL_1_1_1o,6,
CVE-2022-1343,0,,,openssl-3.0.2;openssl-3.0.1;openssl-3.0.0;openssl-3.0.3;OpenSSL_1_1_1o;openssl-3.0.4,6,
CVE-2022-2274,2,,,openssl-3.0.4;OpenSSL_1_1_1q,4,
CVE-2022-3358,4,,,OpenSSL_1_1_1r;OpenSSL_1_1_1s,6,
CVE-2022-3602,5,,,OpenSSL_1_1_1s,6,
CVE-2022-3786,4,,openssl-3.1.0-alpha1,OpenSSL_1_1_1s,6,
CVE-2022-3996,4,,openssl-3.1.0-alpha1,OpenSSL_1_1_1t,6,
CVE-2022-4203,3,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5,,,6,
CVE-2023-0215,4,,OpenSSL_1_1_1t;openssl-3.1.0,,6,
CVE-2023-0216,2,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5;OpenSSL_1_1_1t,6,
CVE-2023-0401,5,,OpenSSL_1_1_1t,,6,
CVE-2023-2650,0,,,,6,true
CVE-2023-2975,2,openssl-3.1.1;openssl-3.0.9;openssl-3.1.0,,OpenSSL_1_1_1v,6,
CVE-2023-5678,5,,openssl-3.2.0-beta1,,6,
CVE-2024-0727,6,,,,6,
