cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2014-3572,1,2,0,1,0,1,,,,OpenSSL_0_9_8zd
CVE-2015-0205,0,1,0,0,0,1,,,,OpenSSL_0_9_8ze
CVE-2015-0206,0,1,0,0,0,1,,,,OpenSSL_0_9_8ze
CVE-2015-0209,2,2,1,1,0,0,,,,
CVE-2015-0288,2,2,1,1,0,0,,,,
CVE-2015-1791,0,1,0,0,1,0,,,OpenSSL_0_9_8zf,
CVE-2015-1788,1,2,0,1,0,1,,,,OpenSSL_1_0_2d
CVE-2015-1789,2,2,1,1,0,0,,,,
CVE-2015-1790,2,2,1,1,0,0,,,,
CVE-2015-3196,0,3,0,0,0,3,,,,OpenSSL_1_0_1p;OpenSSL_1_0_2d;OpenSSL_1_0_2e
CVE-2015-1793,3,3,3,0,0,0,,,,
CVE-2015-3194,3,4,1,2,0,1,,,,OpenSSL_1_0_2f
CVE-2015-3195,4,4,2,2,0,0,,,,
CVE-2015-3197,3,3,0,3,0,0,,,,
CVE-2016-0705,6,6,3,3,0,0,,,,
CVE-2016-0798,3,6,0,3,0,3,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_2h
CVE-2016-0799,3,6,0,3,0,3,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_2h
CVE-2016-2842,3,6,0,3,0,3,,,,OpenSSL_1_0_1s;OpenSSL_1_0_2g;OpenSSL_1_0_2h
CVE-2016-0797,6,6,3,3,0,0,,,,
CVE-2016-0702,0,6,0,0,0,1,,OpenSSL_1_0_1q;OpenSSL_1_0_1r;OpenSSL_1_0_1t;OpenSSL_1_0_2f;OpenSSL_1_0_2h;OpenSSL_1_0_2i,,OpenSSL_1_0_1t
CVE-2016-2109,3,6,0,3,0,3,,,,OpenSSL_1_0_1t;OpenSSL_1_0_2h;OpenSSL_1_0_2i
CVE-2016-2105,6,6,3,3,0,0,,,,
CVE-2016-2106,3,6,0,3,0,3,,,,OpenSSL_1_0_1u;OpenSSL_1_0_2i;OpenSSL_1_0_2j
CVE-2016-2107,3,6,0,3,0,3,,,,OpenSSL_1_0_1u;OpenSSL_1_0_2i;OpenSSL_1_0_2j
CVE-2016-2108,1,4,0,1,0,3,,,,OpenSSL_1_0_1u;OpenSSL_1_0_2i;OpenSSL_1_0_2j
CVE-2016-2176,6,6,3,3,0,0,,,,
CVE-2016-2177,6,6,3,3,0,0,,,,
CVE-2016-6304,4,6,1,3,0,2,,,,OpenSSL_1_0_2i;OpenSSL_1_0_2j
CVE-2016-6306,6,6,3,3,0,0,,,,
CVE-2016-7052,1,1,0,1,0,0,,,,
CVE-2018-0737,3,6,0,3,0,3,,,,OpenSSL_1_0_2p;OpenSSL_1_1_0i;OpenSSL_1_1_1
CVE-2018-0732,3,3,1,2,0,0,,,,
CVE-2019-1559,4,4,1,3,0,0,,,,
CVE-2019-1543,4,5,1,3,0,1,,,,OpenSSL_1_1_1c
CVE-2019-1563,2,6,0,2,1,3,,,OpenSSL_1_0_2s,OpenSSL_1_0_2u;OpenSSL_1_1_1e;OpenSSL_1_1_1f
CVE-2020-1967,6,6,3,3,0,0,,,,
CVE-2021-23840,6,6,3,3,0,0,,,,
CVE-2021-4044,3,6,0,3,0,3,,,,OpenSSL_1_1_1n;openssl-3.0.2;openssl-3.0.3
CVE-2022-1473,5,5,2,3,0,0,,,,
CVE-2022-1343,3,5,0,3,0,2,,,,openssl-3.0.4;openssl-3.0.5
CVE-2022-2274,1,2,0,1,0,1,,,,openssl-3.0.5
CVE-2022-3358,5,5,2,3,0,0,,,,
CVE-2022-3602,6,6,3,3,0,0,,,,
CVE-2022-3786,3,6,0,3,0,3,,,,openssl-3.0.8;openssl-3.1.0-alpha1;openssl-3.1.0-beta1
CVE-2022-3996,5,5,2,3,0,0,,,,
CVE-2022-4203,3,6,0,3,0,3,,,,OpenSSL_1_1_1t;openssl-3.0.8;openssl-3.1.0
CVE-2023-0215,3,6,0,3,0,3,,,,OpenSSL_1_1_1t;openssl-3.0.8;openssl-3.1.0
CVE-2023-0216,3,6,0,3,0,3,,,,OpenSSL_1_1_1t;openssl-3.0.8;openssl-3.1.0
CVE-2023-0401,6,6,3,3,0,0,,,,
CVE-2023-2650,2,4,0,2,0,2,,,,openssl-3.0.9;openssl-3.1.1
CVE-2023-2975,5,5,2,3,0,0,,,,
CVE-2023-5363,6,6,3,3,0,0,,,,
CVE-2023-5678,3,6,0,3,0,3,,,,openssl-3.1.5;openssl-3.2.0;openssl-3.2.1
CVE-2024-0727,6,6,3,3,0,0,,,,
